# f0,f1,f2,f3,f4
-7.284953213612425094e-01,-1.071894975713666986e-01,2.131137074998150447e-03,-3.319557846598615858e-01,2.929749368167904305e-03
4.390055251141075088e-01,-1.828395945300781145e-01,6.676796006740915368e-04,-1.878614711521891037e-02,1.225855329724936417e-02
5.245160716463488360e-01,-1.405989036438995768e-02,-1.994716394597162348e-03,1.731245666986910570e-01,1.416895385606721861e-02
6.469805303631210869e-01,4.386647858004812384e-01,-1.187327782956799612e-03,2.257662368025376010e-01,1.641962593051062014e-02
-6.626117784602137961e-01,-1.063290988561402667e-01,1.249484391883015546e-03,-1.348227067213434716e-01,-3.105359293849687535e-02
-7.775487554719165972e-01,-1.073721540463202506e-01,6.838352674617453929e-04,-4.061865801289451516e-01,-7.830578579043503962e-02
3.228827866466372210e-01,-1.287733967717349381e-01,9.464691240282263498e-05,-1.534895454964043879e-02,1.429861168084016823e-02
-1.826144945868600211e-01,-1.214513702556632713e-01,-8.144454876537565811e-04,1.112257647300793906e-01,1.713025612711362514e-02
5.506079829271312009e-01,1.322589925025931812e-01,-9.221322339453764038e-04,1.434427869519663556e-01,1.507582719760421248e-02
6.364943843021569903e-01,4.342099889329983919e-01,5.175045883265738840e-04,1.878743167176116780e-01,1.690738387657575101e-02
4.249845079219312649e-01,-1.164281134545035457e-01,-3.678884907867541448e-04,-1.069930904647435448e-02,1.304937888536414868e-02
-7.032473065114481781e-01,-1.060555429378609860e-01,-3.113448865042300700e-04,-2.377071683295645110e-01,-3.142442935906274160e-02
-8.190651030705839997e-01,-1.078673845046250745e-01,6.718391043864358316e-04,-5.182575774504403210e-01,-7.651748540485868444e-02
-6.543600974298260375e-01,-1.067709180490965110e-01,6.759037671236001535e-04,-1.036120776634953666e-01,-4.305587220175311619e-02
2.084413796764147397e-01,-2.280383679967462607e-01,-1.082765808109797901e-03,-3.387350508095551133e-02,1.466781242503884669e-02
6.230469439559100930e-01,4.697716830774197883e-01,-8.814144042185034647e-04,9.323255607630925867e-02,1.489409360628769774e-02
5.894468256712570575e-01,2.800001333403451809e-01,4.510095266732605502e-04,1.465652439115842642e-01,1.557276809286349886e-02
-7.386829523011420040e-01,-1.066189904503107716e-01,3.279773368626592617e-04,-3.182243540731161668e-01,-5.046362485950339760e-02
-6.052563992126761550e-01,-1.163013515132342995e-01,3.037074799713082064e-03,4.926816271992379148e-02,-1.901271766614172354e-02
6.224788118582318397e-01,4.720782972845472547e-01,-8.045574924608444711e-04,9.251741411795137704e-02,1.532122072971787985e-02
2.007651595882475604e-01,-2.325442649747583301e-01,4.680183384652991403e-04,-3.298685379886819730e-02,1.478267215251662450e-02
-6.942785109310670721e-01,-1.049173335973364318e-01,2.922365434494622691e-03,-2.003126225368777047e-01,-4.403225084514815479e-02
5.926474803562132854e-01,3.526323269933891447e-01,-3.506135483075923081e-04,1.040176562911528935e-01,1.480237008415542788e-02
-6.600307698417600122e-01,-1.069261105515761368e-01,-1.465271030383519138e-04,-1.061851308225214979e-01,-5.744607729424387743e-02
6.224533329837186324e-01,3.863488118739178412e-01,-1.251023764277761066e-03,1.665770101396947256e-01,1.462549105056723357e-02
5.214957864708458235e-01,1.635209851917807100e-02,-2.054823942535222126e-04,1.417974861979860168e-01,1.446481588821143388e-02
5.477682127126217715e-01,1.426642976577204569e-01,-9.500594143355556168e-04,1.396775553803240588e-01,1.537709476892587176e-02
-1.945091045689787412e-01,-1.475302398601843479e-01,-1.436981214269508105e-03,1.056954803457028913e-01,1.517213441614330763e-02
5.176974279832893266e-01,2.963287381012378457e-02,-2.560894577036378940e-03,1.192809883477116278e-01,1.502432452345828923e-02
-7.425153055476811925e-01,-1.060951155631892073e-01,4.930708705137476413e-04,-3.376065288471164494e-01,-3.686853734693613938e-02
5.176944551041015030e-01,-2.377913074035859636e-02,-2.676929448530245264e-03,1.642261908696241446e-01,1.395697240292292918e-02
-2.257538997811729953e-01,-1.266717041410765909e-01,-9.253860062472085810e-05,1.118627837523968049e-01,2.122578025303710134e-02
3.142677972088177007e-01,-1.594957548161983207e-01,-2.599399712789818230e-04,-1.683186859171655753e-02,1.604999125263702892e-02
-7.042237064394885060e-01,-1.043262342639036389e-01,3.622101857815778012e-03,-2.138804606680849985e-01,-6.464375177015427298e-02
6.088131565279991664e-01,3.474009601538955438e-01,-6.389729629563589870e-04,1.641241028553895309e-01,1.578337708259596253e-02
5.790629386490764308e-01,3.124085756862314267e-01,-2.371896141889920026e-03,8.644339411257760675e-02,1.518629480928439072e-02
-7.170387504927475675e-01,-1.061842031968978917e-01,1.752802307603360454e-03,-2.549626408475381689e-01,-6.412481961637241101e-02
7.218080217992792202e-02,-1.058306220968233957e-01,-6.867073866033024821e-04,1.793419362582653748e-02,1.703167849857209135e-02
5.255370591537621427e-01,1.299633949158487678e-01,-2.914517237190921133e-03,6.975854849739562824e-02,1.404355434457784171e-02
6.016975526062060542e-01,3.872764895924092343e-01,7.376064744562427656e-04,9.873361341700728766e-02,1.535885480354181633e-02
5.954693789231623180e-01,2.867993395047233052e-01,-1.484886328394168127e-03,1.696590890221364167e-01,1.554784413904826586e-02
5.606329197274226850e-01,1.401365042611791845e-01,1.972753483187261682e-04,1.841910285247763679e-01,1.417696872817487096e-02
5.000348287522911050e-01,3.010091403836668081e-02,-3.527598702216892118e-03,5.772115621921102696e-02,1.404852574747792425e-02
-6.185989253842172353e-01,-1.151656641277850196e-01,-4.723301736930807238e-04,5.872600754916731947e-02,-6.111661819412802371e-02
-8.053572304565522755e-01,-1.067661321249977341e-01,1.752834507442457927e-06,-4.796757829093576397e-01,-8.186256728279658890e-02
-4.146224414948164738e-01,-1.919132117763638207e-02,1.492650268573925186e-04,1.044930202603609332e-01,2.370838213144224951e-02
5.763745895063039359e-01,2.938995419093407557e-01,-1.766338189986527054e-03,9.250114037578213710e-02,1.581132823733469306e-02
5.825684168852740541e-01,2.440280669575599914e-01,-1.444761875745825927e-04,1.713585437689403024e-01,1.464075862969593800e-02
-4.702799713455624309e-01,-1.033423880577811343e-01,-1.042943575171193611e-03,8.578679916005967077e-02,2.486942299520478530e-02
-6.891848021669830238e-02,-8.466705428011664369e-02,1.143348858659010191e-03,7.003792705436411026e-02,1.645905661505594336e-02
-6.261643809021234519e-01,-1.084876715398468139e-01,1.961939847601570312e-03,-1.029929144981076711e-01,2.839282663665471801e-02
6.416010351683758550e-01,4.577372421715608652e-01,3.302397724041838739e-04,1.842280632915071770e-01,1.595314040216862933e-02
-6.018954496400101828e-01,-1.111548544002175787e-01,1.984782688673476358e-03,-2.884495400219634631e-02,2.218545911174487489e-02
-6.861876929964546568e-01,-1.054129735640731286e-01,1.020838693673340380e-03,-1.720634332416301482e-01,-6.543385720788591486e-02
-3.403862331166851440e-01,-1.441465311697720519e-01,-1.157739479081101256e-03,1.010708594745074185e-01,2.203746688491264524e-02
6.980617312195136481e-02,-2.054287589762543442e-01,4.950176461125011147e-04,-3.097921337575826242e-04,1.460968669159910804e-02
6.193170900321957051e-01,3.370374589199218729e-01,3.754007136785730706e-04,2.124083612815161337e-01,1.465639351353161153e-02
5.207439627028906948e-01,-3.408602584128857249e-02,-1.378366767955867527e-03,1.729202400660983518e-01,1.422544485706225652e-02
-3.586907256205108530e-01,-6.639779126978283263e-02,-1.010481138573595663e-03,1.091016454960731658e-01,2.355741402813464613e-02
5.582702942370951771e-01,1.369799039776853633e-01,-1.659477803955269242e-03,1.752417133461881271e-01,1.323289040656391163e-02
4.213129369164607674e-01,-1.652349022780754129e-01,1.223198506327207802e-03,-1.234353194946379538e-02,1.389143316400804837e-02
6.284905344863409571e-01,4.508835126302483398e-01,-2.447422988302605539e-04,1.384538463209628312e-01,1.454858814904355299e-02
3.567250579969959423e-01,-1.202896695888466677e-01,-5.655369059923032616e-04,-1.626332691500124300e-02,1.574710429519427662e-02
5.984933879576419535e-01,3.333950734737709531e-01,-1.376418882514372040e-03,1.299238568664782267e-01,1.541212737605974353e-02
5.179798167163153222e-01,-2.453312257965080748e-02,-2.001792057485545038e-03,1.677862109521834066e-01,1.402089859468333075e-02
-4.549481367956013655e-01,-5.959062309862929452e-02,-3.509251305968064051e-04,9.455739660355448606e-02,2.826700348152485359e-02
5.564066316783055077e-01,1.458262483871749227e-01,-5.656158677584244678e-04,1.580070719888158337e-01,1.562261629038175746e-02
4.004365067047865323e-01,-9.496199695596260759e-02,-1.608371719021306511e-04,-1.098437409676762330e-02,1.671157711599107615e-02
5.946254414381405562e-01,2.845975767340155338e-01,-1.613098494785845200e-03,1.685796321659495389e-01,1.454213100548486237e-02
6.464066543473881987e-01,4.307170283790150989e-01,-8.292241342473972033e-04,2.235817847301950767e-01,1.486367203163240468e-02
3.032948214673069631e-01,-2.087252187775857359e-01,-1.006914206000146875e-03,-2.528600097343769448e-02,1.092815339833350628e-02
-7.274892844150826487e-01,-1.055753551937277795e-01,1.816774049116247694e-03,-3.179222271830792756e-01,-2.059830105927176053e-02
5.373855774164303378e-01,1.628106122180361104e-01,-1.269239546550124951e-03,7.518562469204198573e-02,1.480034613706493474e-02
-2.218782255239852841e-01,-1.042514502698259071e-01,-1.177951868066884377e-04,1.165666786881956740e-01,2.086654200348903032e-02
-4.311196880156762945e-01,-8.694450830033019495e-02,-9.377361730003030429e-05,9.687960465268588561e-02,2.298199847137539012e-02
1.450618125331675501e-01,-2.340397673523193500e-01,-1.327883581102469283e-03,-2.282699354423129920e-02,1.270577131624122530e-02
-6.193133429828958647e-01,-1.139286255019123922e-01,9.350045274140938653e-04,5.915320324933247970e-02,-6.285315105818881087e-02
-4.543534383993119152e-01,-5.123283450878261813e-02,-4.778372508189931782e-04,9.457872651970661293e-02,2.859097588947065449e-02
-6.762111156739092355e-01,-1.047642248211059224e-01,3.318333639142565395e-03,-1.698426300589216120e-01,-3.726902604131282493e-02
6.096416793566140635e-01,4.245303471855686461e-01,-1.878425587233323248e-04,9.362353830228813123e-02,1.512203802616340909e-02
-4.665778122281221685e-01,-1.246521212488369140e-01,-1.592575279742049991e-03,8.459633389551526883e-02,2.648705256402763414e-02
3.406747332022359576e-01,-1.145956304577339380e-01,1.552275712629125402e-04,-1.803686404199424803e-02,1.436671442026408833e-02
5.436055497405822834e-01,1.132734656562047332e-01,-2.256339369509987713e-03,1.475949471402304980e-01,1.477497900277967291e-02
5.096827262161650607e-01,-3.415212489659097406e-02,-3.150824838471635424e-03,1.431079918285399766e-01,1.493540791153236645e-02
-7.777359075002004962e-01,-1.084096234170965484e-01,-6.251618362057342676e-04,-4.011557993764364727e-01,-7.819981041108349518e-02
-1.073573633926548643e-01,-1.588917419452172963e-01,-5.688772646180950904e-04,6.130054556711002356e-02,1.612569962251654901e-02
4.918852131815947271e-01,-3.541341962391925113e-02,-2.788789342134805147e-03,8.104593300734677652e-02,1.565132752073395903e-02
-6.454265211658457568e-01,-1.085645246585954793e-01,1.064915121296508040e-03,-1.425271607122147177e-01,2.118317026863223915e-02
-6.666761813271568915e-01,-1.066616028075509370e-01,2.442089928081259023e-04,-1.504671094399862019e-01,-2.468383536794590410e-02
-7.452765836115304854e-01,-1.065235668068089531e-01,-4.958048989874441368e-04,-3.394336700143486540e-01,-4.686949788202582345e-02
4.945292395899832383e-01,-4.071244487199691953e-02,-3.380805904776025116e-03,9.070777524612140541e-02,1.556379204152335584e-02
-6.822572479694098968e-01,-1.069878864025827214e-01,1.711736772449512500e-04,-1.973028666445031942e-01,-7.305909778770000931e-03
2.060846497774764530e-01,-2.387482904095895586e-01,-5.939548620199274973e-04,-3.571542817839144790e-02,1.331573355889759114e-02
3.168029063062340334e-01,-1.510780104496643739e-01,2.439001611946878189e-05,-1.741325195392846512e-02,1.343966189278944512e-02
6.393415081862121596e-01,4.309457342889254639e-01,5.069932835181134622e-04,1.934152002863674946e-01,1.673547305895453988e-02
-7.658522574339849953e-01,-1.056270127925506563e-01,2.532718480463245353e-03,-4.059296047585331801e-01,-3.884923443283696404e-02
-8.064928840224638851e-02,-6.145516635904187119e-02,-8.380249406491202665e-04,7.638390484516321965e-02,1.736989567330738185e-02
-6.258559862754463632e-01,-1.052743524873176323e-01,1.551599447714124749e-03,-5.554967212230508405e-02,-1.237321882410242352e-02
4.301597689790332968e-01,-1.261258022241827370e-01,-6.594977612576258296e-04,-8.409864445325184248e-03,1.551847279578169071e-02
5.444708404053335560e-01,1.788700589843801869e-01,-4.515994804614820255e-04,8.335788048395670335e-02,1.507471583736560289e-02
2.866219729353861045e-01,-1.104061680919903726e-01,-3.859835016396573381e-04,-1.498315235709924385e-02,1.645031875870017757e-02
3.063851374697287855e-01,-1.834515548832086895e-01,2.112292234187407357e-04,-2.286966374785151870e-02,1.266508670244775175e-02
-6.302840659763750963e-01,-1.103186592251313436e-01,2.994414461718406494e-03,-9.745571934180474738e-02,1.728209176515520251e-02
3.730392915131733322e-01,-1.469891010136916421e-01,4.669086690819312805e-04,-1.109941206617122596e-02,1.524902328564849141e-02
-6.939538977076062931e-01,-1.065362261701784524e-01,5.479445796800064402e-04,-1.851854773394717435e-01,-8.555978952787426928e-02
-6.205110334600931477e-02,-7.137932965365961779e-02,-1.409659430382817014e-03,7.147563551541452620e-02,1.800407708960619774e-02
-6.675567280791984137e-01,-1.072109947596118218e-01,3.237856992693650699e-03,-1.154053809006990172e-01,-8.022879456481860072e-02
4.880357271320508450e-01,-2.091251928060955736e-02,-3.029842037526577804e-03,6.083219643552410794e-02,1.459351860020205970e-02
6.547364207571308992e-01,4.801257046201885537e-01,5.023379112276415721e-04,2.116204255338106910e-01,1.445184508281613552e-02
4.492211491376337795e-01,-1.277792500467785364e-01,6.246996489062439954e-04,-1.046586908590370520e-02,1.396049097065315409e-02
-6.412195726179197308e-01,-1.090184679075969082e-01,9.359964878012760718e-04,-4.468061315572697395e-02,-7.297984153302422561e-02
-8.187821229563815306e-01,-1.070473110994123594e-01,-2.516775512981439728e-04,-5.183000990712435252e-01,-7.550998878464269815e-02
5.519664845163470002e-01,1.344247479551677338e-01,-1.264413804697142076e-03,1.446207716679737132e-01,1.178517980152946586e-02
6.051300477665836342e-01,2.897745352249501138e-01,-1.275040064952008903e-03,1.995704062777554078e-01,1.536563146249363826e-02
-7.970854722690410288e-01,-1.071438834065816109e-01,1.817576118767192479e-03,-4.548412665996420245e-01,-8.379777996608936408e-02
-6.943107186903852979e-01,-1.055584927538689016e-01,2.351954622670291480e-03,-2.033769290241201622e-01,-4.555914793920692180e-02
-4.440034927107512908e-01,-8.565188051728001017e-02,-4.202231292128999333e-04,9.403470819069298381e-02,2.678612983688935870e-02
-4.491297651346826680e-01,-1.255648394535728574e-01,-1.487813155958974624e-03,8.560679587470530760e-02,2.267873277879289134e-02
-6.528064632332462036e-01,-1.063907480813122697e-01,1.529925540680778700e-03,-1.385430437384854996e-01,7.703792994902869395e-03
5.916278924647303539e-01,3.360796758573815213e-01,-4.097936991320239052e-04,1.179854672334454402e-01,1.473693195663372535e-02
3.191880484875128099e-01,-1.897845318689087568e-01,-3.333987048836206516e-04,-2.417160662536389434e-02,1.456855328145366044e-02
-3.309821707562605186e-01,-1.412434432070585888e-01,-1.604199950979818927e-03,1.008326626133248249e-01,2.032248606096572971e-02
5.063277529430660895e-01,-3.457865366372061666e-03,-2.437131456804309156e-03,1.084356771878378783e-01,1.540846847583679860e-02
-6.443559537963028383e-01,-1.074805486922059544e-01,1.665527868576646133e-03,-5.349738945330784895e-02,-7.149000099363547744e-02
-7.575492168608525256e-01,-1.053210849379638547e-01,1.194653250590818009e-03,-3.957099731164578360e-01,-1.745853880671347641e-02
-7.841382665675155073e-01,-1.056066821555987217e-01,8.982499413400546777e-04,-4.239000084618038677e-01,-6.860665570010042458e-02
-7.709371296921926353e-01,-1.039670750119330439e-01,1.036442210645418475e-03,-4.172485660922785611e-01,-3.168146031997821216e-02
-3.551303653086483880e-01,-5.688002854352816606e-02,-6.513495064427843708e-04,1.082004283558308105e-01,2.349383879547303766e-02
-7.626316718829957431e-01,-1.051106468866555566e-01,8.765541067327830768e-04,-3.709085130772160621e-01,-6.280561169278825462e-02
-6.632291228689155549e-01,-1.079228537315543718e-01,9.563336908058773112e-04,-1.107919613656105223e-01,-7.044568119866198574e-02
-1.501924407865499189e-01,-4.380897936867768350e-02,-3.378351780747834688e-04,1.136478947349860436e-01,1.816364422593096453e-02
-7.267173383886347260e-01,-1.065699283252092705e-01,2.372800378527699632e-03,-2.762837043682548899e-01,-7.122228113401889160e-02
5.432264895880826172e-01,8.250919775192869232e-02,-1.600393495236858117e-03,1.788312502858934727e-01,1.346584375522752453e-02
-6.355733831066300299e-01,-1.092231377183952579e-01,1.469925530900582141e-03,-1.263807220006572252e-01,2.959907766825835979e-02
-6.344483350859764226e-01,-1.062718318633426445e-01,1.754513401997428480e-03,-1.271814465296199625e-01,3.068939931012209729e-02
-6.307921926650215116e-01,-1.053316912088894247e-01,1.149122354481733064e-03,-5.718115358835632045e-02,-2.276419695522235997e-02
3.562807521455079174e-01,-1.212620251182534026e-01,-9.851238045530408011e-04,-1.537358775122811549e-02,1.646400965975999484e-02
-7.545036683465287108e-01,-1.053802224801665965e-01,-6.029872568433347190e-04,-3.964264094865154742e-01,-7.476976148182074879e-03
6.209068777205311029e-01,4.026411418028829070e-01,4.958067193888382159e-04,1.555113967845181966e-01,1.546188490212216556e-02
5.921686972543830363e-01,2.798618441303483695e-01,-1.499859600066884074e-03,1.604838664410567495e-01,1.501695247502766485e-02
-6.169020415799968404e-01,-1.166786551787095116e-01,3.967181843972866708e-04,6.927947637652039081e-02,-5.510382081650732483e-02
-7.782537532876540043e-01,-1.061539511046658002e-01,1.199904761247125784e-03,-4.544267601605361251e-01,-1.032885260766306518e-02
-3.204343897658873397e-01,-7.985975308970864883e-02,-1.324147222021565540e-04,1.130683873723228317e-01,2.190897559826908078e-02
-3.804384233557789319e-01,-1.471748000274283319e-01,-8.737575647819540228e-04,9.254304670065494065e-02,2.098211558780803745e-02
3.973658639844325213e-01,-1.214409580593337479e-01,-2.169710004909575283e-04,-1.178425598383228169e-02,1.548819074568427885e-02
5.889179990805906151e-01,3.382581853191186649e-01,-1.107740730699333575e-03,1.025419478572939663e-01,1.485578567736638503e-02
-7.975909528787360481e-01,-1.057022523180330548e-01,9.997099623501525759e-04,-4.939977249646426705e-01,-3.186621009875125615e-02
-2.685318240034393900e-01,-1.228529074034076934e-01,3.909713843449935428e-04,1.138840149971747512e-01,2.025626866366792359e-02
-8.096110553197286563e-01,-1.064611631587513291e-01,-3.360423889807862127e-04,-4.966067934398551986e-01,-6.490434332295989817e-02
