# f0,f1,f2,f3,f4
-6.311690096716051634e-01,-1.906881929419040611e-01,-2.313780038470554089e-03,-3.369216291043614087e-01,6.291377498206998133e-03
3.778129730488666294e-01,-1.583662127195577807e-01,-1.719910399956006697e-02,-2.506400296950061970e-03,1.037462409403005353e-02
4.640444772694985454e-01,3.488114037904153919e-02,1.074272856763172981e-02,1.899751726614923031e-01,1.802358129803138809e-02
5.582440530888794772e-01,5.166534170518388702e-01,1.821275093771873924e-02,2.099781042768265049e-01,2.113345734462171790e-02
-5.819370270920808386e-01,-1.836457113804448316e-01,-5.485966658910114944e-03,-1.323852080594690450e-01,-3.554842665998137613e-02
-6.715021972563102182e-01,-2.077522583304852455e-01,-4.552321669898162781e-03,-3.914411862552384380e-01,-8.318546175074743865e-02
2.802315799766731397e-01,-8.881270192903457927e-02,-1.564813738824341258e-02,-4.735563681776966269e-06,1.771441600067859626e-02
-1.455632714009965356e-01,-1.002637187828861465e-01,-1.023186423741947321e-02,8.475298780730014525e-02,9.850717168307170438e-03
4.764606040058259606e-01,1.718891890384750820e-01,6.593724883382492616e-03,1.476791791391636466e-01,2.218046458632130791e-02
5.465369777541986274e-01,5.140865135382927109e-01,9.269719899640449859e-03,1.770849077826827100e-01,2.494455135711433347e-02
3.709379476324122238e-01,-8.178886072098066895e-02,-6.040986882385368691e-03,4.898959033087351041e-03,1.591115471322325503e-02
-6.098663578827415721e-01,-1.945740183099218257e-01,-4.449146543205983843e-03,-2.406720879988228090e-01,-2.895936310665604349e-02
-7.057010909564587209e-01,-2.158205111590046910e-01,-4.928320023146852413e-03,-5.053845273176432729e-01,-8.921898431435010268e-02
-5.785651118927603864e-01,-1.825960544191065071e-01,-4.390054374110263606e-03,-9.742410407309137765e-02,-4.310339450307708320e-02
1.750899412198506921e-01,-1.802101718800736274e-01,-1.478614219343001024e-02,-9.307347117514552445e-03,7.234394501404039710e-03
5.382823758717592000e-01,5.451162610151846222e-01,7.766918420447837396e-03,8.569168698151344299e-02,1.092285857928317234e-02
5.025225661832013468e-01,3.497180494074745849e-01,6.505154985750323353e-03,1.301172820227335936e-01,2.352585751685097593e-02
-6.397084233217015248e-01,-1.985887785624112223e-01,-5.071221751833263937e-03,-3.223077829472771327e-01,-5.305527290637997162e-02
-5.251594494709624916e-01,-1.863397357289085232e-01,-5.557992168382951993e-04,5.220311217532525722e-02,-1.093397082417254737e-02
5.386149005466523976e-01,5.712315515232171403e-01,3.232753294200847380e-03,8.139970657679754251e-02,1.135565347892367009e-02
1.537980619915865210e-01,-1.921715328731488648e-01,-2.000850466005545114e-02,-1.697687767972766437e-02,8.265045798820693998e-03
-6.130335429971875971e-01,-1.861004047831380515e-01,-3.072747749185396251e-03,-1.961926333901118369e-01,-5.011210414546724001e-02
5.096507869403120727e-01,4.143577429743652285e-01,1.131760765658441394e-02,9.706517748671586454e-02,1.333142364415635869e-02
-5.835969398193492363e-01,-1.860821606276675810e-01,-2.727490013373880945e-03,-9.879194640670049821e-02,-6.846656925821377471e-02
5.377448157235841242e-01,4.626470924985625066e-01,8.777823550805124303e-03,1.662859272011112943e-01,2.034996513549600788e-02
4.623018280977335137e-01,4.358089528510902116e-02,9.668218385853607003e-03,1.525409480683382057e-01,1.525997447907940369e-02
4.748467494453626481e-01,1.798938606801843421e-01,1.070434407700076966e-02,1.314054240235694171e-01,3.170361466057130401e-02
-1.540671698000173340e-01,-1.321736350749677102e-01,-2.087363768783745757e-02,7.319079373460141147e-02,7.501095417978263270e-03
4.559105998556623462e-01,6.090327547760409493e-02,1.290187661155414375e-02,1.329468085965808677e-01,2.617888937085553064e-02
-6.530350529114901104e-01,-1.947651102086177810e-01,-4.522820118533274654e-03,-3.411115065390089018e-01,-3.767145583786714325e-02
4.612858194440019322e-01,-2.066138316120031976e-03,2.378882153358290522e-02,1.790230436533195857e-01,1.828858795779780139e-02
-2.009701519783507750e-01,-1.214152325552174672e-01,-1.697556126489644171e-02,7.651716216063761400e-02,5.029621456882296497e-03
2.763054306371341973e-01,-1.104219817995863162e-01,-9.760556859827716064e-03,-2.536096533946192652e-03,1.206954773053439504e-02
-6.224816004087933008e-01,-1.893187856192884155e-01,-4.645389232392744573e-03,-2.067403207458784198e-01,-7.147628258778183918e-02
5.287216899355593469e-01,4.155520435583781591e-01,8.424288612579856894e-03,1.607098505527383703e-01,2.720847946301120299e-02
